last_name,last_name_real,first_name,up_2018,up_2020,up_2022,gender,type,state,district,party,person,race_ethnicity,white,black,latinx,asian,poc,lgbtq
Menendez,Menendez,Robert,1,0,0,M,sen,NJ,1,Democrat,400272,latinx,0,0,1,0,1,0
Heinrich,Heinrich,Martin,1,0,0,M,sen,NM,2,Democrat,412490,white,1,0,0,0,0,0
Udall,Udall,Tom,0,1,0,M,sen,NM,1,Democrat,400413,white,1,0,0,0,0,0
Masto,Cortez Masto,Catherine,0,0,1,F,sen,NV,2,Democrat,412403,latinx,0,0,1,0,1,0
Heller,Heller,Dean,1,0,0,M,sen,NV,1,Republican,400075,white,1,0,0,0,0,0
Gillibrand,Gillibrand,Kirsten,1,0,0,F,sen,NY,2,Democrat,412223,white,1,0,0,0,0,0
Schumer,Schumer,Charles,0,0,1,M,sen,NY,1,Democrat,412195,white,1,0,0,0,0,0
Brown,Brown,Sherrod,1,0,0,M,sen,OH,1,Democrat,400050,white,1,0,0,0,0,0
Portman,Portman,Robert,0,0,1,M,sen,OH,2,Republican,400068,white,1,0,0,0,0,0
Inhofe,Inhofe,James,0,1,0,M,sen,OK,1,Republican,300055,white,1,0,0,0,0,0
Lankford,Lankford,James,0,0,1,M,sen,OK,2,Republican,400047,white,1,0,0,0,0,0
Merkley,Merkley,Jeff,0,1,0,M,sen,OR,2,Democrat,412325,white,1,0,0,0,0,0
Wyden,Wyden,Ron,0,0,1,M,sen,OR,1,Democrat,400074,white,1,0,0,0,0,0
Jr.,Casey,Robert,1,0,0,M,sen,PA,1,Democrat,412246,white,1,0,0,0,0,0
Toomey,Toomey,Patrick,0,0,1,M,sen,PA,2,Republican,412470,white,1,0,0,0,0,0
Reed,Reed,John,0,1,0,M,sen,RI,1,Democrat,300081,white,1,0,0,0,0,0
Whitehouse,Whitehouse,Sheldon,1,0,0,M,sen,RI,2,Democrat,412247,white,1,0,0,0,0,0
Graham,Graham,Lindsey,0,1,0,M,sen,SC,1,Republican,300047,white,1,0,0,0,0,0
Scott,Scott,Tim,0,0,1,M,sen,SC,2,Republican,400071,black,0,1,0,0,1,0
Rounds,Rounds,Mike,0,1,0,M,sen,SD,2,Republican,400093,white,1,0,0,0,0,0
Thune,Thune,John,0,0,1,M,sen,SD,1,Republican,412379,white,1,0,0,0,0,0
Alexander,Alexander,Lamar,0,1,0,M,sen,TN,1,Republican,300002,white,1,0,0,0,0,0
Corker,Corker,Bob,1,0,0,M,sen,TN,2,Republican,412248,white,1,0,0,0,0,0
Cornyn,Cornyn,John,0,1,0,M,sen,TX,1,Republican,300027,white,1,0,0,0,0,0
Cruz,Cruz,Ted,1,0,0,M,sen,TX,2,Republican,412193,latinx,0,0,1,0,1,0
Hatch,Hatch,Orrin,1,0,0,M,sen,UT,1,Republican,300052,white,1,0,0,0,0,0
Lee,Lee,Mike,0,0,1,M,sen,UT,2,Republican,412196,white,1,0,0,0,0,0
Kaine,Kaine,Timothy,1,0,0,M,sen,VA,2,Democrat,300030,white,1,0,0,0,0,0
Warner,Warner,Mark,0,1,0,M,sen,VA,1,Democrat,412321,white,1,0,0,0,0,0
Leahy,Leahy,Patrick,0,0,1,M,sen,VT,1,Democrat,412395,white,1,0,0,0,0,0
Sanders,Sanders,Bernard,1,0,0,M,sen,VT,2,Independent,400357,white,1,0,0,0,0,0
Cantwell,Cantwell,Maria,1,0,0,F,sen,WA,2,Democrat,300018,white,1,0,0,0,0,0
Murray,Murray,Patty,0,0,1,F,sen,WA,1,Democrat,400061,white,1,0,0,0,0,0
Baldwin,Baldwin,Tammy,1,0,0,F,sen,WI,2,Democrat,400004,white,1,0,0,0,0,1
Johnson,Johnson,Ron,0,0,1,M,sen,WI,1,Republican,400046,white,1,0,0,0,0,0
Capito,Capito,Shelley,0,1,0,F,sen,WV,2,Republican,412330,white,1,0,0,0,0,0
III,Manchin,Joe,1,0,0,M,sen,WV,1,Democrat,412391,white,1,0,0,0,0,0
Barrasso,Barrasso,John,1,0,0,M,sen,WY,2,Republican,412251,white,1,0,0,0,0,0
Enzi,Enzi,Michael,0,1,0,M,sen,WY,1,Republican,300041,white,1,0,0,0,0,0
