last_name,first_name,up_2018,up_2020,up_2022,gender,type,state,district,party,person,race_ethnicity,white,black,latinx,asian,poc,lgbtq
Vargas,Juan,,,,M,rep,CA,51,Democrat,408211,latinx,0,0,1,0,1,0
Walters,Mimi,,,,F,rep,CA,45,Republican,412631,white,1,0,0,0,0,0
Waters,Maxine,,,,F,rep,CA,43,Democrat,412511,black,0,1,0,0,1,0
Buck,Ken,,,,M,rep,CO,4,Republican,412632,white,1,0,0,0,0,0
Coffman,Mike,,,,M,rep,CO,6,Republican,400653,white,1,0,0,0,0,0
DeGette,Diana,,,,F,rep,CO,1,Democrat,400189,white,1,0,0,0,0,0
Lamborn,Doug,,,,M,rep,CO,5,Republican,300076,white,1,0,0,0,0,0
Perlmutter,Ed,,,,M,rep,CO,7,Democrat,400360,white,1,0,0,0,0,0
Polis,Jared,,,,M,rep,CO,2,Democrat,412399,white,1,0,0,0,0,1
Tipton,Scott,,,,M,rep,CO,3,Republican,412500,white,1,0,0,0,0,0
Courtney,Joe,,,,M,rep,CT,2,Democrat,412444,white,1,0,0,0,0,0
DeLauro,Rosa,,,,F,rep,CT,3,Democrat,412437,white,1,0,0,0,0,0
Esty,Elizabeth,,,,F,rep,CT,5,Democrat,412549,white,1,0,0,0,0,0
Himes,James,,,,M,rep,CT,4,Democrat,400251,white,1,0,0,0,0,0
Larson,John,,,,M,rep,CT,1,Democrat,412475,white,1,0,0,0,0,0
Norton,Eleanor,,,,F,rep,DC,0,Democrat,400348,black,0,1,0,0,1,0
Blunt Rochester,Lisa,,,,F,rep,DE,0,Democrat,412690,black,0,1,0,0,1,0
Bilirakis,Gus,,,,M,rep,FL,12,Republican,400114,white,1,0,0,0,0,0
Buchanan,Vern,,,,M,rep,FL,16,Republican,412480,white,1,0,0,0,0,0
Castor,Kathy,,,,F,rep,FL,14,Democrat,412463,white,1,0,0,0,0,0
Crist,Charlie,,,,M,rep,FL,13,Democrat,412698,white,1,0,0,0,0,0
Curbelo,Carlos,,,,M,rep,FL,26,Republican,412633,latinx,0,0,1,0,1,0
Demings,Val,,,,F,rep,FL,10,Democrat,412697,black,0,1,0,0,1,0
DeSantis,Ron,,,,M,rep,FL,6,Republican,412551,white,1,0,0,0,0,0
Deutch,Theodore,,,,M,rep,FL,22,Democrat,400196,white,1,0,0,0,0,0
Diaz-Balart,Mario,,,,M,rep,FL,25,Republican,400199,latinx,0,0,1,0,1,0
Dunn,Neal,,,,M,rep,FL,2,Republican,412692,white,1,0,0,0,0,0
Frankel,Lois,,,,F,rep,FL,21,Democrat,412552,white,1,0,0,0,0,0
Gaetz,Matt,,,,M,rep,FL,1,Republican,412691,white,1,0,0,0,0,0
Hastings,Alcee,,,,M,rep,FL,20,Democrat,400247,black,0,1,0,0,1,0
Lawson,Al,,,,M,rep,FL,5,Democrat,412694,black,0,1,0,0,1,0
Mast,Brian,,,,M,rep,FL,18,Republican,412699,latinx,0,0,1,0,1,0
Murphy,Stephanie,,,,F,rep,FL,7,Democrat,412695,asian,0,0,0,1,1,0
Posey,Bill,,,,M,rep,FL,8,Republican,412417,white,1,0,0,0,0,0
Rooney,Thomas,,,,M,rep,FL,17,Republican,412186,white,1,0,0,0,0,0
Rooney,Francis,,,,M,rep,FL,19,Republican,412700,white,1,0,0,0,0,0
Ros-Lehtinen,Ileana,,,,F,rep,FL,27,Republican,400378,latinx,0,0,1,0,1,0
Ross,Dennis,,,,M,rep,FL,15,Republican,412217,white,1,0,0,0,0,0
Rutherford,John,,,,M,rep,FL,4,Republican,412693,white,1,0,0,0,0,0
Soto,Darren,,,,M,rep,FL,9,Democrat,412696,latinx,0,0,1,0,1,0
Wasserman Schultz,Debbie,,,,F,rep,FL,23,Democrat,412510,white,1,0,0,0,0,0
Webster,Daniel,,,,M,rep,FL,11,Republican,412512,white,1,0,0,0,0,0
Wilson,Frederica,,,,F,rep,FL,24,Democrat,412515,black,0,1,0,0,1,0
Yoho,Ted,,,,M,rep,FL,3,Republican,412550,white,1,0,0,0,0,0
Allen,Rick,,,,M,rep,GA,12,Republican,412637,white,1,0,0,0,0,0
Bishop,Sanford,,,,M,rep,GA,2,Democrat,412472,black,0,1,0,0,1,0
Carter,Buddy,,,,M,rep,GA,1,Republican,412634,white,1,0,0,0,0,0
Collins,Doug,,,,M,rep,GA,9,Republican,412553,white,1,0,0,0,0,0
Ferguson,A.,,,,M,rep,GA,3,Republican,412701,white,1,0,0,0,0,0
Graves,Tom,,,,M,rep,GA,14,Republican,400237,white,1,0,0,0,0,0
Hice,Jody,,,,M,rep,GA,10,Republican,412635,white,1,0,0,0,0,0
Johnson,Henry,,,,M,rep,GA,4,Democrat,400263,black,0,1,0,0,1,0
Lewis,John,,,,M,rep,GA,5,Democrat,412443,black,0,1,0,0,1,0
Loudermilk,Barry,,,,M,rep,GA,11,Republican,412636,white,1,0,0,0,0,0
Scott,Austin,,,,M,rep,GA,8,Republican,400408,white,1,0,0,0,0,0
Scott,David,,,,M,rep,GA,13,Democrat,412254,black,0,1,0,0,1,0
Woodall,Rob,,,,M,rep,GA,7,Republican,412519,white,1,0,0,0,0,0
Bordallo,Madeleine,,,,F,rep,GU,0,Democrat,400124,white,1,0,0,0,0,0
Gabbard,Tulsi,,,,F,rep,HI,2,Democrat,412554,asian,0,0,0,1,1,0
Hanabusa,Colleen,,,,F,rep,HI,1,Democrat,412680,asian,0,0,0,1,1,0
Blum,Rod,,,,M,rep,IA,1,Republican,412638,white,1,0,0,0,0,0
King,Steve,,,,M,rep,IA,4,Republican,300075,white,1,0,0,0,0,0
Loebsack,David,,,,M,rep,IA,2,Democrat,412492,white,1,0,0,0,0,0
Young,David,,,,M,rep,IA,3,Republican,412639,white,1,0,0,0,0,0
Labrador,Raul,,,,M,rep,ID,1,Republican,400285,latinx,0,0,1,0,1,0
Simpson,Michael,,,,M,rep,ID,2,Republican,400623,white,1,0,0,0,0,0
Bost,Mike,,,,M,rep,IL,12,Republican,412641,white,1,0,0,0,0,0
Bustos,Cheri,,,,F,rep,IL,17,Democrat,412556,white,1,0,0,0,0,0
Davis,Danny,,,,M,rep,IL,7,Democrat,412282,black,0,1,0,0,1,0
Davis,Rodney,,,,M,rep,IL,13,Republican,412555,white,1,0,0,0,0,0
Foster,Bill,,,,M,rep,IL,11,Democrat,412531,white,1,0,0,0,0,0
Gutierrez,Luis,,,,M,rep,IL,4,Democrat,412209,latinx,0,0,1,0,1,0
Hultgren,Randy,,,,M,rep,IL,14,Republican,400253,white,1,0,0,0,0,0
Kelly,Robin,,,,F,rep,IL,2,Democrat,412611,black,0,1,0,0,1,0
Kinzinger,Adam,,,,M,rep,IL,16,Republican,412194,white,1,0,0,0,0,0
Krishnamoorthi,Raja,,,,M,rep,IL,8,Democrat,412702,asian,0,0,0,1,1,0
LaHood,Darin,,,,M,rep,IL,18,Republican,412678,white,1,0,0,0,0,0
Lipinski,Daniel,,,,M,rep,IL,3,Democrat,400308,white,1,0,0,0,0,0
Quigley,Mike,,,,M,rep,IL,5,Democrat,400364,white,1,0,0,0,0,0
Roskam,Peter,,,,M,rep,IL,6,Republican,400379,white,1,0,0,0,0,0
Rush,Bobby,,,,M,rep,IL,1,Democrat,412461,black,0,1,0,0,1,0
Schakowsky,Janice,,,,F,rep,IL,9,Democrat,400546,white,1,0,0,0,0,0
Schneider,Bradley,,,,M,rep,IL,10,Democrat,412219,white,1,0,0,0,0,0
Shimkus,John,,,,M,rep,IL,15,Republican,400419,white,1,0,0,0,0,0
Banks,Jim,,,,M,rep,IN,3,Republican,412703,white,1,0,0,0,0,0
Brooks,Susan,,,,F,rep,IN,5,Republican,412558,white,1,0,0,0,0,0
Bucshon,Larry,,,,M,rep,IN,8,Republican,400640,white,1,0,0,0,0,0
Carson,Andre,,,,M,rep,IN,7,Democrat,412382,black,0,1,0,0,1,0
Hollingsworth,Trey,,,,M,rep,IN,9,Republican,412704,white,1,0,0,0,0,0
Messer,Luke,,,,M,rep,IN,6,Republican,412560,white,1,0,0,0,0,0
Rokita,Todd,,,,M,rep,IN,4,Republican,400376,white,1,0,0,0,0,0
Visclosky,Peter,,,,M,rep,IN,1,Democrat,412257,white,1,0,0,0,0,0
Walorski,Jackie,,,,F,rep,IN,2,Republican,412557,white,1,0,0,0,0,0
Estes,Ron,,,,M,rep,KS,4,Republican,412735,white,1,0,0,0,0,0
Jenkins,Lynn,,,,F,rep,KS,2,Republican,400654,white,1,0,0,0,0,0
Marshall,Roger,,,,M,rep,KS,1,Republican,412705,white,1,0,0,0,0,0
Yoder,Kevin,,,,M,rep,KS,3,Republican,412521,white,1,0,0,0,0,0
Barr,Garland,,,,M,rep,KY,6,Republican,412561,white,1,0,0,0,0,0
Comer,James,,,,M,rep,KY,1,Republican,412681,white,1,0,0,0,0,0
Guthrie,Brett,,,,M,rep,KY,2,Republican,400244,white,1,0,0,0,0,0
Massie,Thomas,,,,M,rep,KY,4,Republican,412526,white,1,0,0,0,0,0
Rogers,Harold,,,,M,rep,KY,5,Republican,400371,white,1,0,0,0,0,0
Yarmuth,John,,,,M,rep,KY,3,Democrat,412520,white,1,0,0,0,0,0
Abraham,Ralph,,,,M,rep,LA,5,Republican,412643,white,1,0,0,0,0,0
Graves,Garret,,,,M,rep,LA,6,Republican,412644,white,1,0,0,0,0,0
Higgins,Clay,,,,M,rep,LA,3,Republican,412706,white,1,0,0,0,0,0
Johnson,Mike,,,,M,rep,LA,4,Republican,412707,white,1,0,0,0,0,0
Richmond,Cedric,,,,M,rep,LA,2,Democrat,400367,black,0,1,0,0,1,0
Scalise,Steve,,,,M,rep,LA,1,Republican,400404,white,1,0,0,0,0,0
Capuano,Michael,,,,M,rep,MA,7,Democrat,412327,white,1,0,0,0,0,0
Clark,Katherine,,,,F,rep,MA,5,Democrat,412614,white,1,0,0,0,0,0
Keating,William,,,,M,rep,MA,9,Democrat,412466,white,1,0,0,0,0,0
Kennedy,Joseph,,,,M,rep,MA,4,Democrat,412562,white,1,0,0,0,0,0
Lynch,Stephen,,,,M,rep,MA,8,Democrat,412307,white,1,0,0,0,0,0
McGovern,James,,,,M,rep,MA,2,Democrat,412462,white,1,0,0,0,0,0
Moulton,Seth,,,,M,rep,MA,6,Democrat,412646,white,1,0,0,0,0,0
Neal,Richard,,,,M,rep,MA,1,Democrat,412411,white,1,0,0,0,0,0
Tsongas,Niki,,,,F,rep,MA,3,Democrat,412505,white,1,0,0,0,0,0
Brown,Anthony,,,,M,rep,MD,4,Democrat,412708,black,0,1,0,0,1,0
Cummings,Elijah,,,,M,rep,MD,7,Democrat,400641,black,0,1,0,0,1,0
Delaney,John,,,,M,rep,MD,6,Democrat,412563,white,1,0,0,0,0,0
Harris,Andy,,,,M,rep,MD,1,Republican,412445,white,1,0,0,0,0,0
Hoyer,Steny,,,,M,rep,MD,5,Democrat,400656,white,1,0,0,0,0,0
Raskin,Jamie,,,,M,rep,MD,8,Democrat,412709,white,1,0,0,0,0,0
Ruppersberger,C.,,,,M,rep,MD,2,Democrat,412259,white,1,0,0,0,0,0
Sarbanes,John,,,,M,rep,MD,3,Democrat,412317,white,1,0,0,0,0,0
Pingree,Chellie,,,,F,rep,ME,1,Democrat,412315,white,1,0,0,0,0,0
Poliquin,Bruce,,,,M,rep,ME,2,Republican,412647,white,1,0,0,0,0,0
Amash,Justin,,,,M,rep,MI,3,Republican,412385,white,1,0,0,0,0,0
Bergman,Jack,,,,M,rep,MI,1,Republican,412710,white,1,0,0,0,0,0
Bishop,Mike,,,,M,rep,MI,8,Republican,412649,white,1,0,0,0,0,0
Conyers,John,,,,M,rep,MI,13,Democrat,400163,black,0,1,0,0,1,0
Dingell,Debbie,,,,F,rep,MI,12,Democrat,412651,white,1,0,0,0,0,0
Huizenga,Bill,,,,M,rep,MI,2,Republican,412468,white,1,0,0,0,0,0
Kildee,Daniel,,,,M,rep,MI,5,Democrat,412564,white,1,0,0,0,0,0
Lawrence,Brenda,,,,F,rep,MI,14,Democrat,412652,black,0,1,0,0,1,0
Levin,Sander,,,,M,rep,MI,9,Democrat,412302,white,1,0,0,0,0,0
Mitchell,Paul,,,,M,rep,MI,10,Republican,412711,white,1,0,0,0,0,0
Moolenaar,John,,,,M,rep,MI,4,Republican,412648,white,1,0,0,0,0,0
Trott,Dave,,,,M,rep,MI,11,Republican,412650,white,1,0,0,0,0,0
Upton,Fred,,,,M,rep,MI,6,Republican,412506,white,1,0,0,0,0,0
Walberg,Tim,,,,M,rep,MI,7,Republican,412318,white,1,0,0,0,0,0
Ellison,Keith,,,,M,rep,MN,5,Democrat,400206,black,0,1,0,0,1,0
Emmer,Tom,,,,M,rep,MN,6,Republican,412653,white,1,0,0,0,0,0
Lewis,Jason,,,,M,rep,MN,2,Republican,412712,white,1,0,0,0,0,0
McCollum,Betty,,,,F,rep,MN,4,Democrat,400660,white,1,0,0,0,0,0
Nolan,Richard,,,,M,rep,MN,8,Democrat,412565,white,1,0,0,0,0,0
Paulsen,Erik,,,,M,rep,MN,3,Republican,412312,white,1,0,0,0,0,0
Peterson,Collin,,,,M,rep,MN,7,Democrat,400361,white,1,0,0,0,0,0
Walz,Timothy,,,,M,rep,MN,1,Democrat,412509,white,1,0,0,0,0,0
Clay,Wm.,,,,M,rep,MO,1,Democrat,300048,black,0,1,0,0,1,0
Cleaver,Emanuel,,,,M,rep,MO,5,Democrat,400158,black,0,1,0,0,1,0
Graves,Sam,,,,M,rep,MO,6,Republican,300065,white,1,0,0,0,0,0
Hartzler,Vicky,,,,F,rep,MO,4,Republican,400246,white,1,0,0,0,0,0
Long,Billy,,,,M,rep,MO,7,Republican,400313,white,1,0,0,0,0,0
