last_name,first_name,up_2018,up_2020,up_2022,gender,type,state,district,party,person,race_ethnicity,white,black,latinx,asian,poc,lgbtq
Fudge,Marcia,,,,F,rep,OH,11,Democrat,412419,black,0,1,0,0,1,0
Gibbs,Bob,,,,M,rep,OH,7,Republican,412290,white,1,0,0,0,0,0
Johnson,Bill,,,,M,rep,OH,6,Republican,412295,white,1,0,0,0,0,0
Jordan,Jim,,,,M,rep,OH,4,Republican,400659,white,1,0,0,0,0,0
Joyce,David,,,,M,rep,OH,14,Republican,412581,white,1,0,0,0,0,0
Kaptur,Marcy,,,,F,rep,OH,9,Democrat,412189,white,1,0,0,0,0,0
Latta,Robert,,,,M,rep,OH,5,Republican,400295,white,1,0,0,0,0,0
Renacci,James,,,,M,rep,OH,16,Republican,400366,white,1,0,0,0,0,0
Ryan,Tim,,,,M,rep,OH,13,Democrat,400402,white,1,0,0,0,0,0
Stivers,Steve,,,,M,rep,OH,15,Republican,412416,white,1,0,0,0,0,0
Tiberi,Patrick,,,,M,rep,OH,12,Republican,412218,white,1,0,0,0,0,0
Turner,Michael,,,,M,rep,OH,10,Republican,412503,white,1,0,0,0,0,0
Wenstrup,Brad,,,,M,rep,OH,2,Republican,412579,white,1,0,0,0,0,0
Bridenstine,Jim,,,,M,rep,OK,1,Republican,412582,white,1,0,0,0,0,0
Cole,Tom,,,,M,rep,OK,4,Republican,412485,white,1,0,0,0,0,0
Lucas,Frank,,,,M,rep,OK,3,Republican,412192,white,1,0,0,0,0,0
Mullin,Markwayne,,,,M,rep,OK,2,Republican,412583,white,1,0,0,0,0,0
Russell,Steve,,,,M,rep,OK,5,Republican,412661,white,1,0,0,0,0,0
Blumenauer,Earl,,,,M,rep,OR,3,Democrat,400122,white,1,0,0,0,0,0
Bonamici,Suzanne,,,,F,rep,OR,1,Democrat,412524,white,1,0,0,0,0,0
DeFazio,Peter,,,,M,rep,OR,4,Democrat,412494,white,1,0,0,0,0,0
Schrader,Kurt,,,,M,rep,OR,5,Democrat,412405,white,1,0,0,0,0,0
Walden,Greg,,,,M,rep,OR,2,Republican,412508,white,1,0,0,0,0,0
Barletta,Lou,,,,M,rep,PA,11,Republican,400108,white,1,0,0,0,0,0
Boyle,Brendan,,,,M,rep,PA,13,Democrat,412663,white,1,0,0,0,0,0
Brady,Robert,,,,M,rep,PA,1,Democrat,400134,white,1,0,0,0,0,0
Cartwright,Matthew,,,,M,rep,PA,17,Democrat,412595,white,1,0,0,0,0,0
Costello,Ryan,,,,M,rep,PA,6,Republican,412662,white,1,0,0,0,0,0
Dent,Charles,,,,M,rep,PA,15,Republican,412283,white,1,0,0,0,0,0
Doyle,Michael,,,,M,rep,PA,14,Democrat,412460,white,1,0,0,0,0,0
Evans,Dwight,,,,M,rep,PA,2,Democrat,412534,black,0,1,0,0,1,0
Fitzpatrick,Brian,,,,M,rep,PA,8,Republican,412722,white,1,0,0,0,0,0
Kelly,Mike,,,,M,rep,PA,3,Republican,400271,white,1,0,0,0,0,0
Marino,Tom,,,,M,rep,PA,10,Republican,400325,white,1,0,0,0,0,0
Meehan,Patrick,,,,M,rep,PA,7,Republican,400341,white,1,0,0,0,0,0
Murphy,Tim,,,,M,rep,PA,18,Republican,412311,white,1,0,0,0,0,0
Perry,Scott,,,,M,rep,PA,4,Republican,412584,white,1,0,0,0,0,0
Rothfus,Keith,,,,M,rep,PA,12,Republican,412585,white,1,0,0,0,0,0
Shuster,Bill,,,,M,rep,PA,9,Republican,412214,white,1,0,0,0,0,0
Smucker,Lloyd,,,,M,rep,PA,16,Republican,412723,white,1,0,0,0,0,0
Thompson,Glenn,,,,M,rep,PA,5,Republican,400440,white,1,0,0,0,0,0
Gonzalez-Colin,Jenniffer,,,,F,rep,PR,0,Republican,412724,latinx,0,0,1,0,1,0
Cicilline,David,,,,M,rep,RI,1,Democrat,412473,white,1,0,0,0,0,1
Langevin,James,,,,M,rep,RI,2,Democrat,400290,white,1,0,0,0,0,0
Clyburn,James,,,,M,rep,SC,6,Democrat,412388,black,0,1,0,0,1,0
Duncan,Jeff,,,,M,rep,SC,3,Republican,412199,white,1,0,0,0,0,0
Gowdy,Trey,,,,M,rep,SC,4,Republican,400233,white,1,0,0,0,0,0
Rice,Tom,,,,M,rep,SC,7,Republican,400607,white,1,0,0,0,0,0
Sanford,Marshall,,,,M,rep,SC,1,Republican,412612,white,1,0,0,0,0,0
Wilson,Joe,,,,M,rep,SC,2,Republican,412514,white,1,0,0,0,0,0
Noem,Kristi,,,,F,rep,SD,0,Republican,400347,white,1,0,0,0,0,0
Black,Diane,,,,F,rep,TN,6,Republican,400116,white,1,0,0,0,0,0
Blackburn,Marsha,,,,F,rep,TN,7,Republican,412215,white,1,0,0,0,0,0
Cohen,Steve,,,,M,rep,TN,9,Democrat,400160,white,1,0,0,0,0,0
Cooper,Jim,,,,M,rep,TN,5,Democrat,412280,white,1,0,0,0,0,0
DesJarlais,Scott,,,,M,rep,TN,4,Republican,400194,white,1,0,0,0,0,0
Duncan,John,,,,M,rep,TN,2,Republican,412496,white,1,0,0,0,0,0
Fleischmann,Charles,,,,M,rep,TN,3,Republican,412435,white,1,0,0,0,0,0
Kustoff,David,,,,M,rep,TN,8,Republican,412725,white,1,0,0,0,0,0
Roe,David,,,,M,rep,TN,1,Republican,300089,white,1,0,0,0,0,0
Arrington,Jodey,,,,M,rep,TX,19,Republican,412727,white,1,0,0,0,0,0
Babin,Brian,,,,M,rep,TX,36,Republican,412666,white,1,0,0,0,0,0
Barton,Joe,,,,M,rep,TX,6,Republican,400111,white,1,0,0,0,0,0
Brady,Kevin,,,,M,rep,TX,8,Republican,412482,white,1,0,0,0,0,0
Burgess,Michael,,,,M,rep,TX,26,Republican,400643,white,1,0,0,0,0,0
Carter,John,,,,M,rep,TX,31,Republican,412406,white,1,0,0,0,0,0
Castro,Joaquin,,,,M,rep,TX,20,Democrat,412600,latinx,0,0,1,0,1,0
Conaway,K.,,,,M,rep,TX,11,Republican,400162,white,1,0,0,0,0,0
Cuellar,Henry,,,,M,rep,TX,28,Democrat,400175,latinx,0,0,1,0,1,0
Culberson,John,,,,M,rep,TX,7,Republican,412486,white,1,0,0,0,0,0
Doggett,Lloyd,,,,M,rep,TX,35,Democrat,412284,white,1,0,0,0,0,0
Farenthold,Blake,,,,M,rep,TX,27,Republican,400211,white,1,0,0,0,0,0
Flores,Bill,,,,M,rep,TX,17,Republican,412465,latinx,0,0,1,0,1,0
Gohmert,Louie,,,,M,rep,TX,1,Republican,400230,white,1,0,0,0,0,0
Gonzalez,Vicente,,,,M,rep,TX,15,Democrat,412726,latinx,0,0,1,0,1,0
Granger,Kay,,,,F,rep,TX,12,Republican,412256,white,1,0,0,0,0,0
Green,Al,,,,M,rep,TX,9,Democrat,412495,black,0,1,0,0,1,0
Green,Gene,,,,M,rep,TX,29,Democrat,400238,white,1,0,0,0,0,0
Hensarling,Jeb,,,,M,rep,TX,5,Republican,412292,white,1,0,0,0,0,0
Hurd,Will,,,,M,rep,TX,23,Republican,412665,black,0,1,0,0,1,0
Jackson Lee,Sheila,,,,F,rep,TX,18,Democrat,412190,black,0,1,0,0,1,0
Johnson,Eddie,,,,F,rep,TX,30,Democrat,400259,black,0,1,0,0,1,0
Johnson,Sam,,,,M,rep,TX,3,Republican,400644,white,1,0,0,0,0,0
Marchant,Kenny,,,,M,rep,TX,24,Republican,412308,white,1,0,0,0,0,0
McCaul,Michael,,,,M,rep,TX,10,Republican,412331,white,1,0,0,0,0,0
O'Rourke,Beto,,,,M,rep,TX,16,Democrat,412598,white,1,0,0,0,0,0
Olson,Pete,,,,M,rep,TX,22,Republican,400349,white,1,0,0,0,0,0
Poe,Ted,,,,M,rep,TX,2,Republican,300087,white,1,0,0,0,0,0
Ratcliffe,John,,,,M,rep,TX,4,Republican,412664,white,1,0,0,0,0,0
Sessions,Pete,,,,M,rep,TX,32,Republican,400416,white,1,0,0,0,0,0
Smith,Lamar,,,,M,rep,TX,21,Republican,412255,white,1,0,0,0,0,0
Thornberry,Mac,,,,M,rep,TX,13,Republican,412428,white,1,0,0,0,0,0
Veasey,Marc,,,,M,rep,TX,33,Democrat,412605,black,0,1,0,0,1,0
Vela,Filemon,,,,M,rep,TX,34,Democrat,412606,latinx,0,0,1,0,1,0
Weber,Randy,,,,M,rep,TX,14,Republican,412596,white,1,0,0,0,0,0
Williams,Roger,,,,M,rep,TX,25,Republican,412601,white,1,0,0,0,0,0
Bishop,Rob,,,,M,rep,UT,1,Republican,412488,white,1,0,0,0,0,0
Chaffetz,Jason,,,,M,rep,UT,3,Republican,400154,white,1,0,0,0,0,0
Love,Mia,,,,F,rep,UT,4,Republican,412667,black,0,1,0,0,1,0
Stewart,Chris,,,,M,rep,UT,2,Republican,412607,white,1,0,0,0,0,0
Beyer,Donald,,,,M,rep,VA,8,Democrat,412668,white,1,0,0,0,0,0
Brat,David,,,,M,rep,VA,7,Republican,412616,white,1,0,0,0,0,0
Comstock,Barbara,,,,F,rep,VA,10,Republican,412669,white,1,0,0,0,0,0
Connolly,Gerald,,,,M,rep,VA,11,Democrat,412278,white,1,0,0,0,0,0
Garrett,Thomas,,,,M,rep,VA,5,Republican,412730,white,1,0,0,0,0,0
Goodlatte,Bob,,,,M,rep,VA,6,Republican,412464,white,1,0,0,0,0,0
Griffith,H.,,,,M,rep,VA,9,Republican,400240,white,1,0,0,0,0,0
McEachin,A.,,,,M,rep,VA,4,Democrat,412729,black,0,1,0,0,1,0
Scott,Robert,,,,M,rep,VA,3,Democrat,400411,"black, asian",0,1,0,1,1,0
Taylor,Scott,,,,M,rep,VA,2,Republican,412728,white,1,0,0,0,0,0
Wittman,Robert,,,,M,rep,VA,1,Republican,412516,white,1,0,0,0,0,0
Plaskett,Stacey,,,,F,rep,VI,0,Democrat,412670,black,0,1,0,0,1,0
Welch,Peter,,,,M,rep,VT,0,Democrat,412513,white,1,0,0,0,0,0
DelBene,Suzan,,,,F,rep,WA,1,Democrat,412525,white,1,0,0,0,0,0
Heck,Denny,,,,M,rep,WA,10,Democrat,412609,white,1,0,0,0,0,0
Herrera Beutler,Jaime,,,,F,rep,WA,3,Republican,412293,latinx,0,0,1,0,1,0
Jayapal,Pramila,,,,F,rep,WA,7,Democrat,412731,asian,0,0,0,1,1,0
Kilmer,Derek,,,,M,rep,WA,6,Democrat,412608,white,1,0,0,0,0,0
Larsen,Rick,,,,M,rep,WA,2,Democrat,400291,white,1,0,0,0,0,0
McMorris Rodgers,Cathy,,,,F,rep,WA,5,Republican,412310,white,1,0,0,0,0,0
Newhouse,Dan,,,,M,rep,WA,4,Republican,412671,white,1,0,0,0,0,0
Reichert,David,,,,M,rep,WA,8,Republican,400365,white,1,0,0,0,0,0
Smith,Adam,,,,M,rep,WA,9,Democrat,412239,white,1,0,0,0,0,0
Duffy,Sean,,,,M,rep,WI,7,Republican,400204,white,1,0,0,0,0,0
Gallagher,Mike,,,,M,rep,WI,8,Republican,412732,white,1,0,0,0,0,0
Grothman,Glenn,,,,M,rep,WI,6,Republican,412672,white,1,0,0,0,0,0
Kind,Ron,,,,M,rep,WI,3,Democrat,400661,white,1,0,0,0,0,0
Moore,Gwen,,,,F,rep,WI,4,Democrat,412426,black,0,1,0,0,1,0
Pocan,Mark,,,,M,rep,WI,2,Democrat,412610,white,1,0,0,0,0,1
Ryan,Paul,,,,M,rep,WI,1,Republican,400355,white,1,0,0,0,0,0
Sensenbrenner,F.,,,,M,rep,WI,5,Republican,400414,white,1,0,0,0,0,0
Jenkins,Evan,,,,M,rep,WV,3,Republican,412674,white,1,0,0,0,0,0
McKinley,David,,,,M,rep,WV,1,Republican,412394,white,1,0,0,0,0,0
Mooney,Alex,,,,M,rep,WV,2,Republican,412673,latinx,0,0,1,0,1,0
Cheney,Liz,,,,F,rep,WY,0,Republican,412734,white,1,0,0,0,0,0
